"","sentence_id","word","element_id","word_count","sentiment","ave_sentiment","sd_sentiment"
"408",4605,"economic",4871,1,-0.25,-0.25,NA
"409",4613,"economic",4879,1,-0.25,-0.25,NA
"410",4614,"empowerment",4880,1,1,1,NA
"411",4622,"flagship",4888,1,0.4,0.4,NA
"412",4636,"pay",4902,1,-0.1,-0.1,NA
"413",4653,"chairman",4921,1,0.25,0.25,NA
"414",4674,"considerable",4945,1,0.1,0.1,NA
"415",4675,"expenditure",4946,1,-0.25,-0.25,NA
"416",4677,"providing",4948,1,0.8,0.8,NA
"417",4679,"correct",4950,1,0.6,0.6,NA
"418",4680,"safety",4951,1,0.8,0.8,NA
"419",4684,"work",4955,1,0.25,0.25,NA
"420",4688,"working",4959,1,0.25,0.25,NA
"421",4709,"community",4981,1,0.6,0.6,NA
"422",4719,"strain",4991,1,-0.6,-0.6,NA
"423",4724,"dedicated",4996,1,0.5,0.5,NA
"424",4728,"government",5000,1,-0.5,-0.5,NA
"425",4733,"fresh",5005,1,0.5,0.5,NA
"426",4743,"good",5015,1,0.75,0.75,NA
"427",4744,"rainfall",5016,1,0.1,0.1,NA
"428",4750,"dams",5023,1,-0.25,-0.25,NA
"429",4753,"providing",5026,1,0.8,0.8,NA
"430",4756,"adequate",5029,1,0.5,0.5,NA
"431",4758,"resources",5031,1,0.25,0.25,NA
"432",4776,"expand",5050,1,0.1,0.1,NA
"433",4779,"continue",5053,1,0.4,0.4,NA
"434",4794,"management",5068,1,0.4,0.4,NA
"435",4801,"mentor",5075,1,0.8,0.8,NA
"436",4803,"nurture",5077,1,0.8,0.8,NA
"437",4804,"university",5078,1,0.6,0.6,NA
"438",4813,"opportunity",5087,1,0.5,0.5,NA
"439",4820,"management",5094,1,0.4,0.4,NA
"440",4822,"opportunities",5096,1,1,1,NA
"441",4828,"positive",5102,1,0.75,0.75,NA
"442",4837,"continue",5111,1,0.4,0.4,NA
"443",4839,"develop",5113,1,0.1,0.1,NA
"444",4843,"additional",5117,1,0.25,0.25,NA
"445",4850,"domestic",5124,1,-0.25,-0.25,NA
"446",4853,"markets",5127,1,0.1,0.1,NA
"447",4856,"priority",5130,1,0.6,0.6,NA
